[ml]	pH	L_titrant	sim	wt
0	5.644	0	1	1
0.05	4.332	5e-05	1	1
0.1	3.743	1e-04	1	1
0.15	3.431	0.00015	1	1
0.2	3.229	2e-04	1	1
0.25	3.104	0.00025	1	1
0.3	2.985	3e-04	1	1
