[ml]	pH	L_titrant	sim	wt
0	5.986	0	1	1
0.05	5.971	5e-05	1	1
0.1	5.444	1e-04	1	1
0.15	5.122	0.00015	1	1
0.2	5.336	2e-04	1	1
0.25	5.078	0.00025	1	1
0.3	4.815	3e-04	1	1
0.35	4.665	0.00035	1	1
0.4	4.779	4e-04	1	1
0.45	4.566	0.00045	1	1
0.5	4.376	5e-04	1	1
0.55	4.23	0.00055	1	1
0.6	4.347	6e-04	1	1
0.65	4.171	0.00065	1	1
0.7	4.025	7e-04	1	1
0.75	3.864	0.00075	1	1
0.8	3.937	8e-04	1	1
0.85	3.79	0.00085	1	1
0.9	3.659	9e-04	1	1
0.95	3.542	0.00095	1	1
1	3.574	0.001	1	1
1.05	3.469	0.00105	1	1
1.1	3.368	0.0011	1	1
1.15	3.284	0.00115	1	1
1.2	3.295	0.0012	1	1
1.25	3.22	0.00125	1	1
1.3	3.147	0.0013	1	1
1.35	3.088	0.00135	1	1
1.4	3.088	0.0014	1	1
1.45	3.03	0.00145	1	1
1.5	2.986	0.0015	1	1
