[ml]	pH	L_titrant	sim	wt
0	6.117	0	1	1
0.05	6.103	5e-05	1	1
0.1	5.662	1e-04	1	1
0.15	5.415	0.00015	1	1
0.2	5.108	2e-04	1	1
0.25	4.771	0.00025	1	1
0.3	4.478	3e-04	1	1
0.35	4.712	0.00035	1	1
0.4	4.449	4e-04	1	1
0.45	4.186	0.00045	1	1
0.5	3.972	5e-04	1	1
0.55	4.127	0.00055	1	1
0.6	3.937	6e-04	1	1
0.65	3.776	0.00065	1	1
0.7	3.63	7e-04	1	1
0.75	3.688	0.00075	1	1
0.8	3.556	8e-04	1	1
0.85	3.439	0.00085	1	1
0.9	3.337	9e-04	1	1
0.95	3.358	0.00095	1	1
1	3.249	0.001	1	1
1.05	3.176	0.00105	1	1
1.1	3.186	0.0011	1	1
1.15	3.103	0.00115	1	1
1.2	3.044	0.0012	1	1
1.25	2.986	0.00125	1	1
