[ml]	pH	L_titrant	sim	wt
0	5.933	0	1	1
0.05	5.927	5e-05	1	1
0.1	6.107	1e-04	1	1
0.15	6.786	0.00015	1	1
0.2	7.481	2e-04	1	1
0.25	8.088	0.00025	1	1
0.3	8.488	3e-04	1	1
0.35	8.754	0.00035	1	1
0.4	8.976	4e-04	1	1
0.45	9.198	0.00045	1	1
0.5	9.42	5e-04	1	1
0.55	9.627	0.00055	1	1
0.6	9.82	6e-04	1	1
0.65	10.023	0.00065	1	1
0.7	10.185	7e-04	1	1
0.75	10.319	0.00075	1	1
0.8	10.441	8e-04	1	1
0.85	10.545	0.00085	1	1
0.9	10.635	9e-04	1	1
0.95	10.723	0.00095	1	1
1	10.797	0.001	1	1
1.05	10.87	0.00105	1	1
1.1	10.93	0.0011	1	1
1.15	10.974	0.00115	1	1
1.2	11.033	0.0012	1	1
