[ml]	pH	L_titrant	sim	wt
0	6.215	0	1	1
0.05	6.35	5e-05	1	1
0.1	6.71	1e-04	1	1
0.15	7.1	0.00015	1	1
0.2	7.535	2e-04	1	1
0.25	8.031	0.00025	1	1
0.3	8.466	3e-04	1	1
0.35	8.796	0.00035	1	1
0.4	9.092	4e-04	1	1
0.45	9.366	0.00045	1	1
0.5	9.621	5e-04	1	1
0.55	9.856	0.00055	1	1
0.6	10.05	6e-04	1	1
0.65	10.236	0.00065	1	1
0.7	10.387	7e-04	1	1
0.75	10.522	0.00075	1	1
0.8	10.642	8e-04	1	1
0.85	10.732	0.00085	1	1
0.9	10.822	9e-04	1	1
0.95	10.911	0.00095	1	1
1	10.972	0.001	1	1
1.05	11.022	0.00105	1	1
