[ml]	pH	L_titrant	sim	wt
0	6.115	0	1	1
0.05	6.115	5e-05	1	1
0.1	5.642	1e-04	1	1
0.15	5.392	0.00015	1	1
0.2	5.57	2e-04	1	1
0.25	5.326	0.00025	1	1
0.3	5.169	3e-04	1	1
0.35	5.04	0.00035	1	1
0.4	4.71	4e-04	1	1
0.45	5.025	0.00045	1	1
0.5	4.839	5e-04	1	1
0.55	4.724	0.00055	1	1
0.6	4.538	6e-04	1	1
0.65	4.667	0.00065	1	1
0.7	4.52	7e-04	1	1
0.75	4.38	0.00075	1	1
0.8	4.222	8e-04	1	1
0.85	4.32	0.00085	1	1
0.9	4.179	9e-04	1	1
0.95	4.05	0.00095	1	1
1	3.921	0.001	1	1
1.05	3.978	0.00105	1	1
1.1	3.864	0.0011	1	1
1.15	3.756	0.00115	1	1
1.2	3.649	0.0012	1	1
1.25	3.677	0.00125	1	1
1.3	3.591	0.0013	1	1
1.35	3.505	0.00135	1	1
1.4	3.434	0.0014	1	1
1.45	3.352	0.00145	1	1
1.5	3.371	0.0015	1	1
1.55	3.301	0.00155	1	1
1.6	3.247	0.0016	1	1
1.65	3.185	0.00165	1	1
1.7	3.19	0.0017	1	1
1.75	3.14	0.00175	1	1
1.8	3.09	0.0018	1	1
1.85	3.047	0.00185	1	1
1.9	3.047	0.0019	1	1
1.95	2.989	0.00195	1	1
