[ml]	pH	L_titrant	sim	wt
0	3.958	0	1	1
0.05	3.943	5e-05	1	1
0.1	4.381	1e-04	1	1
0.15	4.969	0.00015	1	1
0.2	5.528	2e-04	1	1
0.25	6.026	0.00025	1	1
0.3	6.509	3e-04	1	1
0.35	6.993	0.00035	1	1
0.4	7.43	4e-04	1	1
0.45	7.838	0.00045	1	1
0.5	8.155	5e-04	1	1
0.55	8.412	0.00055	1	1
0.6	8.629	6e-04	1	1
0.65	8.82	0.00065	1	1
0.7	8.979	7e-04	1	1
0.75	9.152	0.00075	1	1
0.8	9.303	8e-04	1	1
0.85	9.454	0.00085	1	1
0.9	9.59	9e-04	1	1
0.95	9.713	0.00095	1	1
1	9.831	0.001	1	1
1.05	9.952	0.00105	1	1
1.1	10.058	0.0011	1	1
1.15	10.163	0.00115	1	1
1.2	10.269	0.0012	1	1
1.25	10.36	0.00125	1	1
1.3	10.45	0.0013	1	1
1.35	10.539	0.00135	1	1
1.4	10.615	0.0014	1	1
1.45	10.677	0.00145	1	1
1.5	10.737	0.0015	1	1
1.55	10.797	0.00155	1	1
1.6	10.851	0.0016	1	1
1.65	10.903	0.00165	1	1
1.7	10.948	0.0017	1	1
1.75	10.994	0.00175	1	1
1.8	11.03	0.0018	1	1
