[ml]	pH	L_titrant	sim	wt
0	6.179	0	1	1
0.05	6.171	5e-05	1	1
0.1	5.847	1e-04	1	1
0.15	5.552	0.00015	1	1
0.2	5.699	2e-04	1	1
0.25	5.478	0.00025	1	1
0.3	5.302	3e-04	1	1
0.35	5.095	0.00035	1	1
0.4	5.243	4e-04	1	1
0.45	5.081	0.00045	1	1
0.5	4.933	5e-04	1	1
0.55	4.742	0.00055	1	1
0.6	4.86	6e-04	1	1
0.65	4.698	0.00065	1	1
0.7	4.536	7e-04	1	1
0.75	4.315	0.00075	1	1
0.8	4.521	8e-04	1	1
0.85	4.375	0.00085	1	1
0.9	4.229	9e-04	1	1
0.95	4.02	0.00095	1	1
1	4.197	0.001	1	1
1.05	4.056	0.00105	1	1
1.1	3.919	0.0011	1	1
1.15	3.782	0.00115	1	1
1.2	3.859	0.0012	1	1
1.25	3.74	0.00125	1	1
1.3	3.623	0.0013	1	1
1.35	3.523	0.00135	1	1
1.4	3.55	0.0014	1	1
1.45	3.454	0.00145	1	1
1.5	3.358	0.0015	1	1
1.55	3.284	0.00155	1	1
1.6	3.299	0.0016	1	1
1.65	3.225	0.00165	1	1
1.7	3.151	0.0017	1	1
1.75	3.078	0.00175	1	1
1.8	3.092	0.0018	1	1
1.85	3.033	0.00185	1	1
1.9	2.96	0.0019	1	1
