[ml]	pH	L_titrant	sim	wt
0	4.002	0	1	1
0.05	4.23	5e-05	1	1
0.1	4.788	1e-04	1	1
0.15	5.347	0.00015	1	1
0.2	5.845	2e-04	1	1
0.25	6.313	0.00025	1	1
0.3	6.796	3e-04	1	1
0.35	7.219	0.00035	1	1
0.4	7.612	4e-04	1	1
0.45	7.929	0.00045	1	1
0.5	8.17	5e-04	1	1
0.55	8.397	0.00055	1	1
0.6	8.553	6e-04	1	1
0.65	8.592	0.00065	1	1
0.7	8.533	7e-04	1	1
0.75	8.523	0.00075	1	1
0.8	8.578	8e-04	1	1
0.85	9.725	0.00085	1	1
0.9	9.68	9e-04	1	1
0.95	9.771	0.00095	1	1
1	9.876	0.001	1	1
1.05	9.982	0.00105	1	1
1.1	10.088	0.0011	1	1
1.15	10.193	0.00115	1	1
1.2	10.299	0.0012	1	1
1.25	10.39	0.00125	1	1
1.3	10.465	0.0013	1	1
1.35	10.555	0.00135	1	1
1.4	10.626	0.0014	1	1
1.45	10.692	0.00145	1	1
1.5	10.752	0.0015	1	1
1.55	10.812	0.00155	1	1
1.6	10.868	0.0016	1	1
1.65	10.918	0.00165	1	1
1.7	10.963	0.0017	1	1
1.75	11.009	0.00175	1	1
