[ml]	pH	L_titrant	sim	wt
0	6.103	0	1	1
0.05	6.605	5e-05	1	1
0.1	8.345	1e-04	1	1
0.15	9.507	0.00015	1	1
0.2	10	2e-04	1	1
0.25	10.283	0.00025	1	1
0.3	10.492	3e-04	1	1
0.35	10.656	0.00035	1	1
0.4	10.791	4e-04	1	1
0.45	10.881	0.00045	1	1
0.5	10.97	5e-04	1	1
0.55	11.045	0.00055	1	1
