[ml]	pH	L_titrant	sim	wt
0	5.925	0	1	1
0.05	5.566	5e-05	1	1
0.1	5.25	1e-04	1	1
0.15	4.99	0.00015	1	1
0.2	4.768	2e-04	1	1
0.25	4.558	0.00025	1	1
0.3	4.358	3e-04	1	1
0.35	4.166	0.00035	1	1
0.4	3.986	4e-04	1	1
0.45	3.805	0.00045	1	1
0.5	3.655	5e-04	1	1
0.55	3.515	0.00055	1	1
0.6	3.384	6e-04	1	1
0.65	3.279	0.00065	1	1
0.7	3.173	7e-04	1	1
0.75	3.083	0.00075	1	1
0.8	3.008	8e-04	1	1
0.85	2.933	0.00085	1	1
