[ml]	pH	L_titrant	sim	wt
0	5.731	0	1	1
0.05	4.233	5e-05	1	1
0.1	3.629	1e-04	1	1
0.15	3.342	0.00015	1	1
0.2	3.145	2e-04	1	1
0.25	3.023	0.00025	1	1
0.3	2.903	3e-04	1	1
