[ml]	pH	L_titrant	sim	wt
0	6.125	0	1	1
0.05	6.125	5e-05	1	1
0.1	6.444	1e-04	1	1
0.15	6.861	0.00015	1	1
0.2	7.923	2e-04	1	1
0.25	8.235	0.00025	1	1
0.3	8.433	3e-04	1	1
0.35	9.266	0.00035	1	1
0.4	9.071	4e-04	1	1
0.45	9.073	0.00045	1	1
0.5	9.75	5e-04	1	1
0.55	9.75	0.00055	1	1
0.6	9.778	6e-04	1	1
0.65	10.16	0.00065	1	1
0.7	10.245	7e-04	1	1
0.75	10.302	0.00075	1	1
0.8	10.5	8e-04	1	1
0.85	10.556	0.00085	1	1
0.9	10.613	9e-04	1	1
0.95	10.748	0.00095	1	1
1	10.769	0.001	1	1
1.05	10.868	0.00105	1	1
1.1	10.909	0.0011	1	1
1.15	10.939	0.00115	1	1
1.2	11.01	0.0012	1	1
