[ml]	pH	L_titrant	sim	wt
0	4.069	0	1	1
0.05	4.065	5e-05	1	1
0.1	3.646	1e-04	1	1
0.15	3.465	0.00015	1	1
0.2	3.317	2e-04	1	1
0.25	3.189	0.00025	1	1
0.3	3.091	3e-04	1	1
0.35	3.007	0.00035	1	1
0.4	2.919	4e-04	1	1
