[ml]	pH	L_titrant	sim	wt
0	6.208	0	1	1
0.05	6.252	5e-05	1	1
0.1	7.029	1e-04	1	1
0.15	8.089	0.00015	1	1
0.2	9.119	2e-04	1	1
0.25	9.641	0.00025	1	1
0.3	10.008	3e-04	1	1
0.35	10.253	0.00035	1	1
0.4	10.477	4e-04	1	1
0.45	10.627	0.00045	1	1
0.5	10.747	5e-04	1	1
0.55	10.851	0.00055	1	1
0.6	10.934	6e-04	1	1
0.65	11.03	0.00065	1	1
