[ml]	pH	L_titrant	sim	wt
0	6.193	0	1	1
0.05	6.075	5e-05	1	1
0.1	5.677	1e-04	1	1
0.15	5.396	0.00015	1	1
0.2	5.174	2e-04	1	1
0.25	4.954	0.00025	1	1
0.3	4.747	3e-04	1	1
0.35	4.556	0.00035	1	1
0.4	4.364	4e-04	1	1
0.45	4.187	0.00045	1	1
0.5	3.997	5e-04	1	1
0.55	3.832	0.00055	1	1
0.6	3.671	6e-04	1	1
0.65	3.523	0.00065	1	1
0.7	3.391	7e-04	1	1
0.75	3.273	0.00075	1	1
0.8	3.169	8e-04	1	1
0.85	3.081	0.00085	1	1
0.9	3.007	9e-04	1	1
0.95	2.933	0.00095	1	1
