[ml]	pH	L_titrant	sim	wt
0	5.954	0	1	1
0.05	5.649	5e-05	1	1
0.1	5.392	1e-04	1	1
0.15	5.225	0.00015	1	1
0.2	5.078	2e-04	1	1
0.25	4.946	0.00025	1	1
0.3	4.815	3e-04	1	1
0.35	4.712	0.00035	1	1
0.4	4.595	4e-04	1	1
0.45	4.493	0.00045	1	1
0.5	4.39	5e-04	1	1
0.55	4.288	0.00055	1	1
0.6	4.2	6e-04	1	1
0.65	4.098	0.00065	1	1
0.7	3.995	7e-04	1	1
0.75	3.908	0.00075	1	1
0.8	3.82	8e-04	1	1
0.85	3.732	0.00085	1	1
0.9	3.644	9e-04	1	1
0.95	3.571	0.00095	1	1
1	3.494	0.001	1	1
1.05	3.425	0.00105	1	1
1.1	3.351	0.0011	1	1
1.15	3.293	0.00115	1	1
1.2	3.234	0.0012	1	1
1.25	3.176	0.00125	1	1
1.3	3.132	0.0013	1	1
1.35	3.087	0.00135	1	1
1.4	3.03	0.0014	1	1
1.45	2.986	0.00145	1	1
