[ml]	pH	L_titrant	sim	wt
0	6.007	0	1	1
0.05	6.798	5e-05	1	1
0.1	9.509	1e-04	1	1
0.15	10.16	0.00015	1	1
0.2	10.424	2e-04	1	1
0.25	10.548	0.00025	1	1
0.3	10.749	3e-04	1	1
0.35	10.858	0.00035	1	1
0.4	10.951	4e-04	1	1
0.45	11.044	0.00045	1	1
