[ml]	pH	L_titrant	sim	wt
0	6.088	0	1	1
0.05	6.088	5e-05	1	1
0.1	5.386	1e-04	1	1
0.15	4.815	0.00015	1	1
0.2	4.786	2e-04	1	1
0.25	4.639	0.00025	1	1
0.3	4.493	3e-04	1	1
0.35	4.361	0.00035	1	1
0.4	4.23	4e-04	1	1
0.45	4.098	0.00045	1	1
0.5	3.981	5e-04	1	1
0.55	3.878	0.00055	1	1
0.6	3.77	6e-04	1	1
0.65	3.68	0.00065	1	1
0.7	3.586	7e-04	1	1
0.75	3.498	0.00075	1	1
0.8	3.425	8e-04	1	1
0.85	3.345	0.00085	1	1
0.9	3.278	9e-04	1	1
0.95	3.22	0.00095	1	1
1	3.161	0.001	1	1
1.05	3.117	0.00105	1	1
1.1	3.067	0.0011	1	1
1.15	3.019	0.00115	1	1
1.2	2.982	0.0012	1	1
