[ml]	pH	L_titrant	sim	wt
0	6.141	0	1	1
0.05	6.141	5e-05	1	1
0.1	5.714	1e-04	1	1
0.15	5.691	0.00015	1	1
0.2	5.606	2e-04	1	1
0.25	5.346	0.00025	1	1
0.3	4.978	3e-04	1	1
0.35	5.257	0.00035	1	1
0.4	5.076	4e-04	1	1
0.45	4.933	0.00045	1	1
0.5	4.654	5e-04	1	1
0.55	4.892	0.00055	1	1
0.6	4.727	6e-04	1	1
0.65	4.609	0.00065	1	1
0.7	4.34	7e-04	1	1
0.75	4.551	0.00075	1	1
0.8	4.403	8e-04	1	1
0.85	4.285	0.00085	1	1
0.9	4.064	9e-04	1	1
0.95	4.213	0.00095	1	1
1	4.077	0.001	1	1
1.05	3.961	0.00105	1	1
1.1	3.785	0.0011	1	1
1.15	3.877	0.00115	1	1
1.2	3.755	0.0012	1	1
1.25	3.652	0.00125	1	1
1.3	3.549	0.0013	1	1
1.35	3.461	0.00135	1	1
1.4	3.49	0.0014	1	1
1.45	3.402	0.00145	1	1
1.5	3.327	0.0015	1	1
1.55	3.225	0.00155	1	1
1.6	3.166	0.0016	1	1
1.65	3.181	0.00165	1	1
1.7	3.107	0.0017	1	1
1.75	3.034	0.00175	1	1
1.8	2.989	0.0018	1	1
