[ml]	pH	L_titrant	sim	wt
0	6.076	0	1	1
0.05	6.08	5e-05	1	1
0.1	6.575	1e-04	1	1
0.15	7.1	0.00015	1	1
0.2	7.715	2e-04	1	1
0.25	8.322	0.00025	1	1
0.3	8.863	3e-04	1	1
0.35	9.246	0.00035	1	1
0.4	9.576	4e-04	1	1
0.45	9.846	0.00045	1	1
0.5	10.072	5e-04	1	1
0.55	10.267	0.00055	1	1
0.6	10.434	6e-04	1	1
0.65	10.582	0.00065	1	1
0.7	10.702	7e-04	1	1
0.75	10.808	0.00075	1	1
0.8	10.897	8e-04	1	1
0.85	10.972	0.00085	1	1
0.9	11.047	9e-04	1	1
