[ml]	pH	L_titrant	sim	wt
0	6.135	0	1	1
0.05	6.135	5e-05	1	1
0.1	6.771	1e-04	1	1
0.15	7.585	0.00015	1	1
0.2	8.255	2e-04	1	1
0.25	8.665	0.00025	1	1
0.3	8.902	3e-04	1	1
0.35	9.08	0.00035	1	1
0.4	9.287	4e-04	1	1
0.45	9.485	0.00045	1	1
0.5	9.661	5e-04	1	1
0.55	9.835	0.00055	1	1
0.6	9.997	6e-04	1	1
0.65	10.16	0.00065	1	1
0.7	10.285	7e-04	1	1
0.75	10.397	0.00075	1	1
0.8	10.501	8e-04	1	1
0.85	10.589	0.00085	1	1
0.9	10.678	9e-04	1	1
0.95	10.754	0.00095	1	1
1	10.812	0.001	1	1
1.05	10.879	0.00105	1	1
1.1	10.93	0.0011	1	1
1.15	10.989	0.00115	1	1
1.2	11.033	0.0012	1	1
